SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,LATITUDE_BACKUP,LONGITUDE_BACKUP,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION,LAT,LON
Parkfield,,W & Rwrights,Sailing ship,1872.0,"St Johns, NS",1883-02-04,1883.0,2,4,Little Egg Harbor S 2 mi,39.45833,-74.27222,39.6204823,-74.319235,Stranded in fog,,England,200.5,39.6,24.0,1379.0,,"Liverpool, England","Calcutta, India","New York, NY",Wm Anderson,24.0,,0.0,25000.0,120000.0,"Hides, linseed , Jute",Little Egg Harbor #23,A,Y,N,#69259; Total loss,39.45833,-74.27222
George Lewmon,,,Schooner,1881.0,"Onancock, VA",1883-04-23,1883.0,4,23,Deal LSS N .25 mi,40.23121,-73.99625,-,-,Dismasted in gale,,US,73.0,22.0,5.0,49.0,46.66,"Onancock, VA","Potomac River, VA","Keyport, NJ",Russell R Stump,5.0,0.0,0.0,6000.0,570.0,Oysters,Deal,A,Y,N,#85680; Total loss,40.23121,-73.99625
Sarah E Kennedy,,John Zittlosen,Brig Half,1863.0,"Waldoboro, ME",1883-01-05,1883.0,1,5,"Long Branch, NJ",,,40.3042778,-73.9923596,"Collision w/ ""Mary Queen of the Seas""",,US,119.5,28.7,16.9,392.0,,"New York, NY",,,,,,,,,,,,,N,#23255,40.3042778,-73.9923596
Laura Brigman,,,Schooner,1866.0,"Waldoboro, ME",1883-06-19,1883.0,6,19,Asbury Park,,,40.2203907,-74.0120817,Stranded in fog,,,117.0,31.0,11.0,330.0,,"St George, ME","Baltimore, MD","Fall River, MA",Hart,7.0,,0.0,8000.0,1500.0,Gas coal,,Y,Y,Y,#15151; Total loss,40.2203907,-74.0120817
Lizzie Thompson,,G Burrell,Schooner,1867.0,"Amesbury, MA",1883-04-16,1883.0,4,16,Cape May Lightship,,,38.9351125,-74.9060053,"Collision w/ ""Nacoochee""",Wood,US,75.6,25.3,7.5,71.0,,"Newburyport, MA",,,,16.0,,,,,,,Y,Y,N,#14864; Total loss,38.9351125,-74.9060053
R S Graham (1883),,Alex Harding,Schooner,1871.0,"Milford, DE",1883-11-08,1883.0,11,8,Cape May LSS S 1.5 mi,,,38.9351125,-74.9060053,Stranded,,US,128.5,30.5,9.1,341.49,324.52,"Philadelphia, PA","New York, NY","Philadelphia, PA",L Smith,6.0,,0.0,15000.0,,In ballast,Cape May #40,N,N,N,#100075; Refloated,38.9351125,-74.9060053
Mary Queen of the Seas,,A Langellier,Schooner,1872.0,"Murray Bay, Canada",1883-01-05,1883.0,1,5,"Long Branch, NJ",,,40.3042778,-73.9923596,"Collision w/ ""Sara E Kennedy""",,Canada,78.8,22.3,10.2,109.0,,"Quebec, Canada","Aspinwall, PA via Key West","New York, NY",A Langellier,,,,,,,,,,N,,40.3042778,-73.9923596
Fannie A Baily,,,Schooner,1864.0,"Portsmouth, NH",1883-06-04,1883.0,6,4,Hereford Inlet,,,39.01094,-74.7834445,Grounded in thick fog,Wood,,108.5,27.5,9.8,272.0,258.46,"Portland, ME","Windsor, NS","Philadelphia, PA",M Hume Jr,9.0,,4.0,8000.0,2500.0,Plaster,Hereford,Y,Y,N,#9514; Total Loss; Capt's son among lost,39.01094,-74.7834445
Kate Becker,,,Sloop,1875.0,"West Creek, NJ",1883-12-15,1883.0,12,15,Absecon Inlet North shoal,,,39.3740643,-74.4097029,Stranded,,,35.7,12.5,3.2,7.31,6.94,"Somers Point, NJ","New York, NY","Absecon, NJ",Blackman,2.0,,0.0,700.0,100.0,Potatoes,,N,N,N,#14430; Refloated,39.3740643,-74.4097029
John Anna (1883),,,Schooner,1866.0,"Somers Point, NJ",1883-09-17,1883.0,9,17,Corsons Inlet bar,,,39.2158381,-74.6438383,Stranded,,,52.5,18.7,4.5,29.36,27.89,"Somers Point, NJ","New York, NY","Corsons Inlet, NJ",,3.0,1.0,0.0,2000.0,500.0,Lime,,N,N,N,#12906; Refloated,39.2158381,-74.6438383
Kate E Gifford,,R H Williams,Schooner,1874.0,"Mays Landing, NJ",1883-12-28,1883.0,12,28,Sandy Hook NW 1 mi,,,41.4218208,-73.2833176,Stranded,,,126.5,32.8,9.6,419.86,398.87,"Somers Point, NJ","Baltimore, MD","Bridgeport, CT",T H Wright,7.0,,0.0,12000.0,2500.0,577 ton coal,Sandy Hook,N,N,N,#143154; Refloated,41.4218208,-73.2833176
John Mosser (1883),,Abrams et al,Schooner,1866.0,"Islip, NY",1883-02-17,1883.0,2,17,Hereford Inlet E 1 mi,,,39.01094,-74.7834445,Stranded in fog,Wood,,82.3,25.0,7.2,93.0,,"New York, NY","Rappahannock, VA","New York, NY",Curtis,6.0,,0.0,4000.0,3500.0,Oysters,,Y,Y,N,#13200; Total loss; Compass failure,39.01094,-74.7834445
Pottsville (1883),,Phil & Reading Rail Co,Steamship,1874.0,"Philadelphia, PA",1883-01-09,1883.0,1,9,Chadwick LSS S 1 mi,,,-,-,Stranded,Iron,US,248.4,37.1,18.3,1283.0,910.34,"Philadelphia, PA","Boston, MA","Philadelphia, PA",John Pierce,18.0,,0.0,100000.0,,In ballast,Chadwick #12,N,N,N,#150000; Refloated 9 months later,,
D M Anthony (1883),,,Schooner,1873.0,"Fall River, MA",1883-11-13,1883.0,11,13,Hereford Inlet North bar,,,39.01094,-74.7834445,Stranded,Wood,US,146.7,36.7,15.5,555.91,528.12,"Taunton, MA","Boston, MA","Philadelphia, PA",Moore,7.0,,0.0,25000.0,5000.0,General,Hereford Inlet #36,N,N,N,#6798; Refloated,39.01094,-74.7834445
Gulnare,,Robert Boyd,Steamship,1867.0,"Glasgow, Scotland",1883-05-11,1883.0,5,11,Long Beach LSS S 9.75 mi,,,33.7700504,-118.1937395,Stranded,,England,125.0,16.1,11.2,144.0,,"Kingston, Jamaica","New York, NY","Port Antonio, Jamaica",Gunther,16.0,0.0,0.0,7000.0,0.0,None (in ballast),Long Beach #21,N,N,N,#57023; Refloated,33.7700504,-118.1937395
Margaret A Amelia (1883),,,Schooner,1871.0,"Absecon, NJ",1883-01-11,1883.0,1,11,Barnegat Inlet,,,39.7660179,-74.1016824,Grounded,Wood,,45.6,17.3,4.6,24.0,22.66,"Somers Point, NJ","Haverstraw, NY","Atlantic City, NJ",Reed,3.0,,0.0,,,,Barnegat #17,N,N,N,#17151; Refloated,39.7660179,-74.1016824
Lidie Jones (1883),,,Sloop,1869.0,"Tuckerton, NJ",1883-11-14,1883.0,11,14,Hereford Inlet North bar,,,39.01094,-74.7834445,Stranded,Wood,US,37.4,15.2,3.8,12.37,11.75,"Somers Point, NJ","Great Egg Harbor, NJ","Hereford Inlet, NJ",Wright,2.0,,0.0,1000.0,0.0,In ballast,,N,N,N,#15134; Refloated,39.01094,-74.7834445
City of Richmond,,Imman SS Co,Steamship,1873.0,"Glasgow, Scotland",1883-02-16,1883.0,2,16,Sandy Hook LSS SE 1.75 mi,,,41.4218208,-73.2833176,Stranded in fog,Iron,England,440.8,43.5,34.1,4780.0,2957.0,"Liverpool, England","Liverpool, England","New York, NY",Condron,425.0,,0.0,700000.0,180000.0,General,Sandy Hook & Spermaceti Cove,N,N,N,#69286; Refloated,41.4218208,-73.2833176
Mabel Thomas (1883),,Bentley et al,Schooner 3 masted,1874.0,"New Haven, CT",1883-01-10,1883.0,1,10,Shark River N .75 mi,,,40.2082779,-74.07112484,Stranded,Wood,US,148.0,32.7,11.7,335.95,219.15,"New Haven, CT","Newburyport, MA","Baltimore, MD",James McKenzie,7.0,,0.0,10000.0,,,Shark River #13,Y,Y,Y,#90564; Total loss; Later refloated,40.2082779,-74.07112484
Aries (1883),,H Winson & Co,Steamship,1862.0,,1883-08-26,1883.0,8,26,Sandy Hook,,,41.4218208,-73.2833176,Broke prop shaft,Iron,US,198.0,27.6,15.9,832.0,,"Boston, MA","Fall River, MA","Philadelphia, PA",William Loveland,,,,,,General,,,,N,,41.4218208,-73.2833176
Fred E Scammell,,Scammell Bros,,1880.0,"Eatonville, Nova Scotia",1883-01-18,1883.0,1,18,Brigantine Shoal E 3 mi,,,39.4101171,-74.3645906,Stranded,,England,195.0,39.0,22.5,1350.0,,"Parrsboro, NS","Antwerp, Belgium","New York, NY",Anderson,,17.0,0.0,70000.0,30000.0,Iron & empty barrels,Brigantine,N,N,N,"#80366; Refloated; Damage ~$25,000",39.4101171,-74.3645906
Bounding Billow,,,Schooner,1860.0,"Essex, MA",1883-04-03,1883.0,4,3,Sandy Hook LSS NW 1.25 mi,,,41.4218208,-73.2833176,Stranded,,,68.0,19.0,7.0,57.18,54.32,"Gloucester, MA","Gloucester, MA",Fishing service,Noble,14.0,,0.0,7000.0,,,Sandy Hook,N,N,N,#2195; Refloated,41.4218208,-73.2833176
Enoch Robinson,,Samuel H Walker,Schooner 3 masted,1881.0,"Bath, ME",1883-02-26,1883.0,2,26,Sea Isle City E 9 mi,,,39.1534477,-74.6929387,"Collision w/ ""Maggie J Smith""",,,148.3,35.2,15.2,574.0,,"Taunton, MA","Baltimore, MD","Providence, RI",Blake,,,,,,Coal,,Y,Y,N,#135479; Total loss; Crew saved,39.1534477,-74.6929387
Rio Grande (1883),,,Sloop,,,1883-01-16,1883.0,1,16,Wreck Pond Inlet,,,40.1384543,-74.0258183,Stranded,,,30.0,15.0,4.0,12.94,12.79,"Perth Amboy, NJ","Little Egg Harbor, NJ","New York, NY",J W Foster,4.0,0.0,0.0,1000.0,200.0,Clams,#8 and #9,N,N,N,#21587; Refloated,40.1384543,-74.0258183
Lulu Ammerman,,,Schooner,1874.0,"Forked River, NJ",1883-11-04,1883.0,11,4,Forked River LSS E 1.25 mi,,,39.8398413,-74.1901399,Stranded,,,124.0,34.0,11.2,300.0,285.16,"Perth Amboy, NJ","New York, NY","Baltimore, MD",Rulon,7.0,,0.0,10000.0,,In ballast,,N,N,N,#140066; Refloated,39.8398413,-74.1901399
Mary S Tibbits (1883),,,Schooner,1862.0,"Staten Island, NY",1883-09-18,1883.0,9,18,New Jersey coast,,,40.0583238,-74.4056612,"Collision w/ ""Sarah Jane Vaughn""",Wood,US,97.0,27.9,8.2,151.23,143.67,"New York, NY",Virginia,"New York, NY",,5.0,,0.0,,,,,N,N,N,#16847; Damaged; Made way to Delaware Breakwater,40.0583238,-74.4056612
Charles Lawrence,,D S Stetson,Schooner 3 masted,1874.0,"Mays Landing, NJ",1883-02-28,1883.0,2,28,Barnegat,,,39.7649223,-74.2693297,"Collision w/ ""Alps""",,,130.0,33.0,14.0,436.0,,"Mays Landing, NJ","New York, NY","Philadelphia, PA",J R Somers,,,,,,,,N,N,N,#125232; Returned to New York,39.7649223,-74.2693297
Carrie Purington,,Purington et al,Brig,1870.0,"Topsham, ME",1883-02-12,1883.0,2,12,Barnegat N 20 mi,,,39.7649223,-74.2693297,Lost the deck cargo,,,117.3,28.3,13.3,336.0,,"Bath, ME","Port au Prince, Haiti","Boston, MA",,,,,,,Logwood,,N,N,N,#5805,39.7649223,-74.2693297
J Nickerson,,Robert Given,Schooner,1879.0,"Brunswick, ME",1883-05-09,1883.0,5,9,Five Fathom Bank SSE 40 mi,,,-32.1944444,115.6113889,"Collision w/ ""S Conant""",,,98.0,26.0,9.5,180.0,,"Portland, ME","Baracoa, Cuba","New York, NY",Farr,,,,,,,,N,N,N,Made New York for repairs,-32.1944444,115.6113889
New York (1883),,Morgan Line SS Co,Steamship,1875.0,"Wilmington, DE",1883-11-04,1883.0,11,4,Five Fathom Bank Lightship SE 8 mi,,,-32.1944444,115.6113889,"Collision w/ ""Blanche Hopkins""",Iron,US,281.0,38.1,20.2,2284.0,,"New York, NY","New Orleans, LA","New York, NY",R B Quick,,,0.0,,,Cotton Molasses,,N,N,N,"#130043; Rescued crew of ""Blanch Hopkins""",-32.1944444,115.6113889
Blanche Hopkins (1883),,William Irelan,Schooner,1880.0,"Coopers Point, NJ",1883-11-04,1883.0,11,4,Five Fathom Bank Lightship SE 8 mi,,,-32.1944444,115.6113889,"Collision w/ ""New York""",Wood,US,152.5,36.4,16.4,634.54,602.81,"Philadelphia, PA","Bedford, MA","Philadelphia, PA",Pedrick,9.0,,0.0,40000.0,,In ballast,,N,N,N,#3136; Towed to New York,-32.1944444,115.6113889
Kit Carson,,J & L N Paine,Schooner,1860.0,"Essex, MA",1883-04-04,1883.0,4,4,Little Egg Harbor,`,,39.6204823,-74.319235,"Collision w/ ""Manhattan""",,US,81.0,23.4,8.0,94.0,,"Provincetown, MA","Pawtuxet River, MD","Boston, MA",Rich,,,2.0,,,Oysters,,Y,Y,N,Total loss,,-74.319235
Rebecca M Smith (1883),,Jeremiah Smith & Co,Schooner,1872.0,"Camden, NJ",1883-03-16,1883.0,3,16,Hereford Inlet North bar,,,39.01094,-74.7834445,Stranded,Wood,US,116.3,31.4,9.3,318.26,302.35,"Philadelphia, PA","Boston, MA","Philadelphia, PA",W T Grace,,,,12000.0,,,Stone Harbor #35 & Hereford Inlet #36,N,N,N,#110040; Refloated,39.01094,-74.7834445
Henry J Raymond,H J Raymond,John Van Buskirk,Schooner,1864.0,"Newburgh, NY",1883-05-31,1883.0,5,31,Shark River LSS N 1.5 mi,,,40.2082779,-74.07112484,Stranded,Wood,US,113.0,29.5,9.0,190.38,180.87,"New York, NY","New York, NY",Virginia,Cranmer,6.0,,0.0,8000.0,,In ballast,Shark River,N,N,N,#11797; Refloated,40.2082779,-74.07112484
Meta,Full Rigged Clipper,F Roters,Clipper ship,1854.0,"Damariscotta, ME",1883-10-14,1883.0,10,14,Bay Head LSS S 1.5 mi,40.04438,-74.04616,40.0717828,-74.0543036,Stranded,Wood,Germany,204.0,42.0,28.0,1812.0,,"Bremerhaven, Germany","Bremerhaven, Germany","New York, NY",Frerichs,24.0,,0.0,25000.0,20000.0,8000 empty barrels,,A,Y,Y,Total loss,40.04438,-74.04616
Seth W Smith,,James G Murchie,Schooner,1872.0,"Calais, ME",1883-06-27,1883.0,6,27,Five Fathom Bank E 6 mi,,,-32.1944444,115.6113889,Dismasted in gale,Wood,US,114.0,28.2,9.6,198.1,,"Calais, ME","Newport News, VA","Portsmouth, NH",,,,,,,,Chatswick,N,N,N,#115160,-32.1944444,115.6113889
E B Fithian (1883),,C A Clemont,Schooner,1864.0,"Greenwich, NJ",1883-11-28,1883.0,11,28,Point Creek,,,43.97768791,-87.75169708,Stranded,Wood,US,49.2,17.2,4.9,25.5,24.23,"Camden, NJ","Port Republic, NJ","New York, NY",J B Higbee,3.0,,0.0,1000.0,500.0,Oysters,Little Egg Harbor,N,N,N,#8020; Refloated,43.97768791,-87.75169708
Florence L Schepp,,S & H Boardman,Schooner,1880.0,"Bath, ME",1884-01-18,1884.0,1,18,Brigantine Shoal,,,39.387617,-74.3345893,Grounded,,,103.1,27.1,10.1,198.0,,,Port de Paix,"New York, NY",William Crabbe,,,,,,,,N,N,N,#120392; Refloated,39.387617,-74.3345893
Frank Pratt Lee,,B E Etheridge,Schooner,1882.0,"Camden, NJ",1884-11-06,1884.0,11,6,Monmouth Beach E .5 mi,,,40.3303883,-73.9815262,Stranded,,US,144.3,35.0,15.9,600.8,570.76,"Philadelphia, PA","Baltimore, MD","Stapleton, Staten Island, NY",W E Lee,8.0,0.0,0.0,35000.0,3000.0,Coal,,N,N,N,#120525; Refloated,40.3303883,-73.9815262
Albertine Meyer,,J Diercks,Brig,,,1884-02-06,1884.0,2,6,Barnegat LSS SE .5 mi,39.75437,-74.09606,39.7649223,-74.2693297,Stranded,Wood,Germany,102.7,25.3,14.5,266.0,,"Rostock, Germany","Bahia, Brazil","New York, NY",Selck,9.0,0.0,0.0,10000.0,40000.0,Sugar,Barnegat,A,Y,N,#770; Total loss,39.75437,-74.09606
Harry Landall,,William A Ripley,Schooner,1866.0,"Belleville, NJ",1884-10-24,1884.0,10,24,Cape May,,,38.9351125,-74.9060053,"Collision w/ ""Rachel Seaman""",,,127.0,30.0,19.0,239.0,,"Newark, NJ","New York, NY",Virginia,Mills,,,,,,,,N,N,N,#11311 Partial loss; repaired in Philadelphia,38.9351125,-74.9060053
E W Stetson,,T Dunham,Ship,1860.0,"New Castle, ME",1884-12-24,1884.0,12,24,Sandy Hook Point,,,40.4716971,-74.0167147,Stranded,Wood,,173.2,38.2,23.6,1164.88,1104.17,"New York, NY","Breman, Norway","New York, NY",Hammond,18.0,,0.0,40000.0,5000.0,"Clay, cement & barrels",,N,N,N,#7770; Refloated,40.4716971,-74.0167147
Altavela,,Rufus C Wells,Schooner,1853.0,"Searsport, ME",1884-05-02,1884.0,5,2,Barnegat LSS ENE 1 mi,39.76123,-74.08515,39.7649223,-74.2693297,Stranded,,,102.2,27.6,8.2,183.0,,"Brooklin, ME","Blue Hill, ME","Washington, DC",Wells,5.0,,0.0,3000.0,2000.0,Stone,Barnegat,A,Y,N,#211; Total loss,39.76123,-74.08515
Charles C Dame,,Charles Athinson,Schooner 3 masted,1883.0,"Newburyport, MA",1884-01-09,1884.0,1,9,Manasquan Inlet South Jetty,,,40.1211544,-74.0473991,Grounded in storm,,US,161.0,38.7,15.8,598.0,567.61,"Newburyport, MA","Portsmouth, NH","Baltimore, MD",Daniels,9.0,,0.0,36000.0,,In ballast,Bay Head & Mantoloking,N,N,N,#126083; Refloated,40.1211544,-74.0473991
Rebecca M Smith (1884),,Jeremiah Smith & Co,Schooner,1872.0,"Camden, NJ",1884-12-24,1884.0,12,24,Sandy Hook S 25 mi,,,27.2791046,-82.5669915,Damaged in storm,Wood,US,116.3,31.4,9.3,318.26,302.35,"Philadelphia, PA",,,W T Grace,,,,,,,,N,N,N,#110040; Lost sails,27.2791046,-82.5669915
Northern Light (1884),,,Schooner,1874.0,"Cold Spring, NJ",1884-09-09,1884.0,9,9,Turtle Gut Inlet North bar,,,-,-,Stranded,,,47.0,15.0,3.0,18.69,17.76,"Cape May, NJ","Philadelphia, PA","Holly Beach, NJ",Barnett,2.0,,0.0,1500.0,88.0,Coal,,N,N,N,#130059; Refloated,,
Ann Louisa Lockwood,,,Schooner,1869.0,"Norwalk, CT",1884-11-05,1884.0,11,5,Hereford Inlet South bar,,,39.01094,-74.7834445,Grounded,,,125.2,29.1,15.7,338.31,321.39,"Boston, MA","Boston, MA","Philadelphia, PA",Madison,7.0,,0.0,12000.0,,Ballast,Hereford Inlet,N,N,N,#1812; Refloatd,39.01094,-74.7834445
Dora M French,,J S Jenness & Co,Schooner,1874.0,"Brewer, ME",1884-06-26,1884.0,6,26,Barnegat,,,39.7649223,-74.2693297,Damaged in gale,,,113.0,29.2,9.1,216.0,,,,,French,,,,,,30 hogshead and Molasses,,N,N,N,#6811,39.7649223,-74.2693297
E B Leisenring,,N A Davidson,Schooner,1882.0,"Camden, NJ",1884-02-14,1884.0,2,14,Highlands SSE 10 mi,,,-,-,"Collision w/ ""Hiawatha""",,,138.3,34.0,11.9,432.0,,"Philadelphia, PA","Matanzas, Cuba","Boston, MA",,,,,,,,,N,N,N,#135570; Repaired,,
Mary E Pennell,,,Brig,1868.0,"Harrington, ME",1884-11-06,1884.0,11,6,Brigantine Shoal S 3.5 mi,,,39.387617,-74.3345893,Stranded,,,110.0,28.1,11.2,251.59,239.01,"Machias, ME","Richmond, VA","New York, NY",Mitchell,7.0,3.0,0.0,8000.0,12000.0,"Iron pipes, stanes & fish bars",Brigantine & South Brigantine,N,N,N,#17703; Refloated undamaged,39.387617,-74.3345893
Harry C Shepard (1884),,,Schooner 3 masted,1870.0,"Mays Landing, NJ",1884-05-02,1884.0,5,2,Sandy Hook,,,41.4218208,-73.2833176,"Collision w/ ""Richard Vaux""",,,110.0,29.0,8.0,213.13,,"Somers Point, NJ",Virginia,"New York, NY",,,,,,,Pine wood,,N,N,N,#95055 Damaged,41.4218208,-73.2833176
R A McGowan,,,Sloop,,,1884-03-11,1884.0,3,11,Hereford Inlet; Gull bar,,,-,-,Grounded,,,40.1,14.2,4.4,15.4,14.63,"Rio Grande, NJ","Chesapeake Bay, VA","Rio Grande, NJ",Cresse,3.0,,,700.0,200.0,Oysters,Hereford Inlet,,,N,#110160,,
A H Hurlburt,,,Schooner,1871.0,"Middletown, CT",1884-06-26,1884.0,6,26,Cape May LSS SW 4 mi,,,38.9351125,-74.9060053,Stranded,Wood,US,126.0,30.0,10.0,263.29,250.13,"New Haven, CT","Hallowell, ME","Yorktown, VA",Crosby,7.0,,0.0,20000.0,40000.0,Granite,Cape May,N,N,N,#105055; Refloated,38.9351125,-74.9060053
H M Somers,,,Schooner,1866.0,"English Creek, NJ",1884-09-20,1884.0,9,20,Cape May LSS S 2.5 mi,,,38.9351125,-74.9060053,Stranded,,US,51.3,19.3,5.3,31.23,29.67,"Somers Point, NJ","Philadelphia, PA","Egg Harbor, NJ",Albertson,3.0,0.0,0.0,2500.0,3000.0,Cordage & lumber,Cape May,N,N,N,#11261; Refloated,38.9351125,-74.9060053
Theresa,,T H Bardman & Co,Schooner,1874.0,"Noank, CT",1884-12-09,1884.0,12,9,Barnegat,,,39.7649223,-74.2693297,Damaged in gale,,,117.0,27.0,10.0,215.0,,"Newburyport, MA",Port de Paix,"New York, NY",F A Janvrin,,,,,,,,N,N,N,#145016,39.7649223,-74.2693297
Vapor (1884),,L H Hopkins,Schooner,1854.0,"Black Rock, CT",1884-05-14,1884.0,5,14,Barnegat,,,39.7649223,-74.2693297,"Collision w/ ""John D Paige"" in fog",Wood,,113.4,30.2,10.4,242.0,,"New York, NY","Brunswick, GA","New York, NY",Haley,,,,,,,,,,N,#25634,39.7649223,-74.2693297
Nellie Floyd,,,Schooner,1879.0,"Port Jefferson, NY",1884-02-06,1884.0,2,6,Highlands SSE 18 mi,,,-,-,"Collision w/ ""Royal Arch"" in fog",,,136.0,33.0,15.4,457.6,434.72,"New York, NY","Georgetown, SC","New York, NY",,,,1.0,,,Naval stores and cotton,,N,N,N,#130144; Partial loss; made port,,
Clydesdale,,R Mackill & Co,Steamship,1881.0,"Port Glasgow, England",1884-03-07,1884.0,3,7,Brigantine Shoal,39.40490,-74.35581,39.387617,-74.3345893,Stranded in fog,Steel,Scotland,214.4,31.2,13.6,738.0,608.0,"Glasgow, Scotland","Kingston, Jamaica","New York, NY",W Johnstone,19.0,8.0,0.0,,,"Sugar, spices, fruit",S Brigantine & Atlantic City,N,N,N,# 85875; Refloated,39.4049,-74.35581
Mima A Read,,Swan & Son,Schooner,1874.0,"Harrington, ME",1884-03-04,1884.0,3,4,"Long Branch, NJ",,,40.3042778,-73.9923596,"Collision w/ ""M E Byard""",Wood,,124.0,31.4,11.8,321.0,305.0,"Harrington, ME",,,Lorenzo Nash,,,,,,,,,,N,#90681,40.3042778,-73.9923596
Florence I Lockwood,,,Schooner,1867.0,"Norwalk, CT",1884-04-29,1884.0,4,29,Brigantine Shoal,,,39.387617,-74.3345893,Stranded,,,103.0,30.5,9.5,299.0,284.0,"Boston, MA","Hurricane Island, ME","Philadelphia, PA",King,6.0,,0.0,7500.0,1600.0,Stone,Brigantine & S Bringantine,N,N,N,#9677; Refloated,39.387617,-74.3345893
Robert Morgan,,,Schooner 3 masted,1883.0,"Madison, CT",1884-01-09,1884.0,1,9,Absecon Beach,,,39.4284503,-74.4957076,Stranded,,US,151.5,35.0,14.5,582.07,552.97,"New Haven, CT","Salem, MA","Philadelphia, PA",Crossley,9.0,0.0,0.0,40000.0,,in ballast,Atlantic City,N,N,N,#110611; Refloated 6/11/1884,39.4284503,-74.4957076
John A Morgan,,,Steamship,1876.0,"Deering, ME",1884-07-22,1884.0,7,22,Sandy Hook,,,41.4218208,-73.2833176,Collision,,,92.0,18.4,8.2,87.81,47.83,"New York, NY",,Fishing service,,,,,,,,,N,N,N,#75846; Partial loss,41.4218208,-73.2833176
Colon (1884),,,Steamship,1873.0,"Chester, PA",1884-03-05,1884.0,3,5,Sandy Hook Romer Shoal,,,41.4218208,-73.2833176,Stranded,,,292.0,40.0,20.3,2685.75,1843.5,"New York, NY","Aspinwall, PA","New York, NY",Shackford,28.0,38.0,0.0,200000.0,75000.0,General,Sandy Hook,N,N,N,#125099; Refloated,41.4218208,-73.2833176
Lizzie W Hannum,,John Collins & Co,Schooner,1868.0,"Essex, MA",1884-03-30,1884.0,3,30,Sandy Hook E 90 mi,,,41.4218208,-73.2833176,Dismasted in gale,,,76.9,21.8,8.0,75.0,,"Gloucester, MA",,,Oliver,,,,,,,,N,N,N,#15525; Repaired,41.4218208,-73.2833176
Oregon SS (1884),,Cunard SS Line,Passenger liner,1883.0,"Glasgow, Scotland",1884-04-19,1884.0,4,19,Sandy Hook LSS NE 2 mi,,,41.4218208,-73.2833176,Stranded,Steel,,520.0,54.0,40.75,7375.0,,"New York, NY","Liverpool, England","New York, NY",Price,295.0,418.0,0.0,1500000.0,500000.0,"Passengers, general cargo, mail",Sandy Hook,N,N,Y,#87887; Refloated w/ no assistance,41.4218208,-73.2833176
Vienna,,Edwin Foster,Sloop,1867.0,"Deep River, CT",1884-03-16,1884.0,3,16,Little Beach LSS ENE 3 mi,39.47132,-74.26790,-,-,"Struck wreckage of ""Makfield""",,,39.0,18.0,5.0,2115.0,20.09,"Onancock, VA","Hog Island, VA","Little Egg Harbor, NJ",Thomas Stiles,6.0,,0.0,1000.0,250.0,Oysters,Little Beach,A,,N,#25613,39.47132,-74.2679
Annie M Reynolds,,,Schooner,1882.0,"Milford, DE",1884-07-05,1884.0,7,5,Great Egg Harbor Inlet,,,39.2987546,-74.5470606,Stranded,Wood,US,72.0,23.0,5.5,60.59,57.57,"Wilmington, DE","New York, NY","Frederica, DE",Croper,5.0,,0.0,5700.0,250.0,Lime,,N,N,N,#106135; Made Absecon for repairs,39.2987546,-74.5470606
Guadaloupe,,C H Mallory & Co,Steamship,1881.0,"Chester, PA",1884-11-19,1884.0,11,19,Barnegat Inlet North side,39.76524,-74.08888,39.7660179,-74.1016824,Stranded,,US,317.8,39.5,21.4,2839.0,,"New York, NY","New York, NY","Galveston, TX",Nickerson,40.0,107.0,0.0,325000.0,60000.0,General merchandise,Barnegat #17 & Forked River #16,N,N,N,#85690; All saved,39.76524,-74.08888
Caro,,E T Hallowell,Bark,1865.0,"Bucksport, ME",1884-08-16,1884.0,8,16,Scotland Lightship,,,56.4906712,-4.2026458,"Collision w/ ""Josephine""",,,118.7,28.2,14.0,351.0,,"Philadelphia, PA","New York, NY","St Johns, USVI",Armstrong,,,,,,,,,,N,#4284,56.4906712,-4.2026458
Melody (1884),,,Schooner,1840.0,"New London, CT",1884-03-10,1884.0,3,10,Sandy Hook LSS SW 1.25 mi,,,41.4218208,-73.2833176,Stranded,,,42.0,15.0,6.5,22.0,,"Perth Amboy, NJ","New York, NY",Fishing cruise,Peter Morton,8.0,,0.0,2500.0,50.0,,,N,N,N,#17259; Refloated,41.4218208,-73.2833176
Charlotte Webb No 5 (1884),,,Pilot schooner,1865.0,"Brooklyn, NY",1884-09-01,1884.0,9,1,Sandy Hook S 25 mi,,,27.2791046,-82.5669915,"Collision w/ ""Alisa""",,,79.0,23.0,8.0,61.54,58.47,"New York, NY","New York, NY",Pilot service,Hines,,,0.0,,,,,N,N,N,#4766,27.2791046,-82.5669915
